,Group 1,Group 2,Group 3,Group 4,Country,Component 1,Component 2,Component 3,Clusters
0,0.2936021034180543,0.03943908851884312,0.43558282208588955,0.23137598597721298,Algeria,-1.2181644676800998,-0.21461062386678542,-0.9125881432783463,3
1,0.05103042198233562,0.39254170755642787,0.1678115799803729,0.3886162904808636,Argentina,0.7384996641138648,-1.4140671502294322,0.64309694000479,1
2,0.47540983606557374,0.025500910746812388,0.16666666666666666,0.3324225865209472,Armenia,-0.8066504445625806,0.47094920079440145,1.0827293310488315,4
3,0.125,0.6700819672131147,0.07308743169398907,0.13183060109289618,Australia,2.300181473982928,-0.0458690032206196,-0.03614481464376351,2
4,0.5943775100401606,0.14859437751004015,0.08835341365461848,0.1686746987951807,Azerbaijan,-0.007598678883103921,1.6496431174394601,0.8492005831436281,4
5,0.20117570215545394,0.25473546701502287,0.3879817112998041,0.15610711952971915,Belarus,-0.14208111081243588,-0.23844211400724596,-1.2114814734180293,3
6,0.1152542372881356,0.17152542372881355,0.18372881355932202,0.5294915254237288,Brazil,-0.34285836939514325,-1.7050150001655284,1.351713429242087,1
7,0.10393541876892028,0.39253279515640765,0.21089808274470231,0.29263370332996974,Chile,0.7165925236350241,-0.9034159045765724,0.0776753172287622,2
8,0.2638753651411879,0.5559883154819864,0.16017526777020447,0.019961051606621226,China,1.7079153400557021,0.8068089879946839,-0.7331906115950826,2
9,0.16611515552614162,0.07677035076108538,0.20450033090668432,0.5526141628060887,Colombia,-0.8093660515741314,-1.6169067266960577,1.4530850417236214,1
10,0.2818455366098295,0.2958876629889669,0.1534603811434303,0.2688064192577733,Cyprus,0.4304956020579993,-0.03930169961301609,0.517121655472396,2
11,0.1298917568692756,0.02331390507910075,0.3047460449625312,0.5420482930890924,Ecuador,-1.2343351297773202,-1.8487839244948763,0.891197890849032,1
12,0.5456336178594878,0.003282994090610637,0.30400525279054497,0.14707813525935653,Egypt,-1.0534974680290068,1.2617504983912666,-0.3057714782705476,4
13,0.10205434062292909,0.6653412856196156,0.1172962226640159,0.11530815109343936,Estonia,2.2020981206884516,-0.13150898805291034,-0.35223514024512126,2
14,0.4962531223980017,0.02414654454621149,0.16319733555370525,0.3164029975020816,Georgia,-0.7947536385304189,0.6172185175499334,1.0562631297811131,4
15,0.08341559723593288,0.730009871668312,0.06959526159921027,0.11697926949654491,Germany,2.5760199334300085,-0.1502455352637973,-0.1603733918174305,2
16,0.4444444444444444,0.0006574621959237344,0.25312294543063774,0.30177514792899407,Ghana,-1.0668443626363353,0.3521560410572812,0.49558129518445787,4
17,0.000514668039114771,0.004632012352032939,0.6901698404529079,0.3046834791559444,Haiti,-1.9288157380357234,-1.9694604935967932,-2.193815989261447,3
18,0.16633266533066132,0.6422845691382766,0.13627254509018036,0.05511022044088176,Hong Kong,2.104948925806994,0.32175914805748107,-0.6190934376789456,2
19,0.6201727642276422,0.015497967479674796,0.16717479674796748,0.19715447154471544,India,-0.759820842301391,1.5446554297926665,0.6733109194494522,4
20,0.38558256496227994,0.03436714165968147,0.41743503772003354,0.16261525565800503,Iraq,-1.157362012764989,0.42730963765829927,-1.007360185396053,3
21,0.14613970588235295,0.7863051470588235,0.03400735294117647,0.03354779411764706,Japan,2.946750202384579,0.45311489210929384,-0.2952850465667465,2
22,0.7852112676056338,0.00528169014084507,0.12411971830985916,0.08538732394366197,Jordan,-0.642297772698244,2.666682627246036,0.6060318760407254,4
23,0.2808539026017345,0.13875917278185457,0.3802535023348899,0.200133422281521,Kazakhstan,-0.6571148058742907,-0.07791874357224732,-0.8340568316718057,3
24,0.6415584415584416,0.022510822510822513,0.2995670995670996,0.03636363636363636,Kuwait,-0.8870184635803096,2.0577473604110454,-0.6564069072185907,4
25,0.37024683122081387,0.038692461641094064,0.3509006004002668,0.24016010673782523,Kyrgyzstan,-1.057339605646744,0.16347933848934046,-0.3623074406792886,3
26,0.1708542713567839,0.14824120603015076,0.4221105527638191,0.25879396984924624,Lebanon,-0.7396570407754737,-0.7837027329971022,-0.9241999690319844,3
27,0.5721295387634936,0.010794896957801767,0.1589793915603533,0.25809617271835134,Libya,-0.8047066313924216,1.138889585485642,0.9220941419505736,4
28,0.4717710750193349,0.040989945862335654,0.36736272235112144,0.11987625676720805,Malasia,-0.9994906199992046,0.9904267344972038,-0.8435324554778147,3
29,0.08458458458458458,0.11661661661661661,0.23773773773773774,0.561061061061061,Mexico,-0.7096627512039757,-2.0125537331349177,1.2087399280761266,1
30,0.6314338235294118,0.015625,0.16819852941176472,0.18474264705882354,Morocco,-0.7529721217207118,1.63394726202204,0.6279939929735388,4
31,0.0528322440087146,0.7331154684095861,0.0784313725490196,0.13562091503267973,Netherlands,2.5591503697517886,-0.3515664577655033,-0.1616679998714875,2
32,0.1710691823899371,0.6327044025157232,0.08427672955974842,0.1119496855345912,New Zealand,2.129670088263492,0.1955471834543932,-0.1052723131734743,2
33,0.2971264367816092,0.0011494252873563218,0.43333333333333335,0.26839080459770115,Nigeria,-1.4039409370599787,-0.33550717233294075,-0.7195673566032678,3
34,0.4147774979009236,0.006717044500419815,0.3165407220822838,0.2619647355163728,Pakistan,-1.1411584836608628,0.30204269877923984,-0.02952192034238263,3
35,0.40429887410440124,0.03582395087001024,0.33879222108495394,0.2210849539406346,Palestine,-1.0325866016070042,0.3842859127666066,-0.3426060432098812,3
36,0.05550883095037847,0.06896551724137931,0.3288477712363331,0.5466778805719091,Peru,-1.088652738267755,-2.190341086142624,0.6815683214939813,1
